Database of Origin,CSIRO National Virtual Core Library
Sample Description,See CSIRO Mineral Spectal Library for additional information
Date Added,2018-09-07 18:36:02.862613

Data ID,Albite_M1280        
Sample ID,M1280
Mineral Name,Albite
Locality,USA

Wavelength
914.0,0.421903759
915.0,0.421744198
916.0,0.421617031
917.0,0.421450883
918.0,0.421193808
919.0,0.421066612
920.0,0.4209598
921.0,0.420780241
922.0,0.420515507
923.0,0.420445293
924.0,0.420276076
925.0,0.420018166
926.0,0.419901937
927.0,0.419731766
928.0,0.419558078
929.0,0.419367284
930.0,0.419103712
931.0,0.418884426
932.0,0.418683141
933.0,0.418486506
934.0,0.418298513
935.0,0.418082684
936.0,0.417925805
937.0,0.417799234
938.0,0.417591572
939.0,0.417354614
940.0,0.417215109
941.0,0.417107165
942.0,0.416854441
943.0,0.416661054
944.0,0.416486531
945.0,0.416298151
946.0,0.41607669
947.0,0.415727943
948.0,0.415447772
949.0,0.415276289
950.0,0.415110022
951.0,0.414861679
952.0,0.414590389
953.0,0.414307088
954.0,0.414010167
955.0,0.41385594
956.0,0.413714081
957.0,0.413467705
958.0,0.413101256
959.0,0.412933916
960.0,0.412801027
961.0,0.412622839
962.0,0.412404567
963.0,0.412236065
964.0,0.412013561
965.0,0.411775261
966.0,0.411594182
967.0,0.411393672
968.0,0.411268026
969.0,0.411131859
970.0,0.410918891
971.0,0.41086483
972.0,0.410761744
973.0,0.410551578
974.0,0.410283178
975.0,0.410127252
976.0,0.409903854
977.0,0.409669161
978.0,0.409506857
979.0,0.409408063
980.0,0.409205258
981.0,0.408936441
982.0,0.40871489
983.0,0.408652425
984.0,0.408402681
985.0,0.408139229
986.0,0.407961071
987.0,0.407750815
988.0,0.407528102
989.0,0.407285184
990.0,0.407084674
991.0,0.407014161
992.0,0.406888634
993.0,0.406726182
994.0,0.406510532
995.0,0.406225145
996.0,0.406020284
997.0,0.405887872
998.0,0.405813932
999.0,0.405736476
1000.0,0.405427784
1001.0,0.406207681
1002.0,0.406026095
1003.0,0.405830711
1004.0,0.405560404
1005.0,0.405261487
1006.0,0.405023187
1007.0,0.404803425
1008.0,0.404585034
1009.0,0.404398859
1010.0,0.404197544
1011.0,0.40394333
1012.0,0.403714001
1013.0,0.403417438
1014.0,0.403096229
1015.0,0.402863592
1016.0,0.402603775
1017.0,0.40233767
1018.0,0.402125448
1019.0,0.401851863
1020.0,0.401559234
1021.0,0.401301682
1022.0,0.401066422
1023.0,0.40081653
1024.0,0.400609136
1025.0,0.400420219
