Database of Origin,Western Washington University
Sample Description,"Calcium and Magnesium Sulfate Mixtures, laboratory resolution"
Date Added,2017-11-11 06:15:58.898620

Data ID,WWU_Sulf_15         
Sample ID,Ca_Sulf_15
Mineral Name,60% Anhydrite-40% Gypsum
Locality,Synthetic
Grain Size,500 - 1000 um
Viewing Geometry,35 degrees
Resolution,3nm/30nm
Composition,Synthetic calcium sulfate

Wavelength
959.0,0.01029146802
960.0,0.0102897057
961.0,0.01028645012
962.0,0.01028328093
963.0,0.01028035691
964.0,0.01027833626
965.0,0.01027635675
966.0,0.01027378569
967.0,0.01027236728
968.0,0.01027197484
969.0,0.01027075142
970.0,0.01026834079
971.0,0.01027119652
972.0,0.01027233601
973.0,0.01027244462
974.0,0.0102742744
975.0,0.01027771756
976.0,0.01028167987
977.0,0.010285787
978.0,0.01028953786
979.0,0.01029090279
980.0,0.01029437476
981.0,0.01029875091
982.0,0.01030197112
983.0,0.01030604614
984.0,0.01030767599
985.0,0.01030758056
986.0,0.01030793845
987.0,0.01031063128
988.0,0.01031492022
989.0,0.01031774386
990.0,0.01031859704
991.0,0.01032510656
992.0,0.01032767433
993.0,0.01032924824
994.0,0.01033362356
995.0,0.01033763854
996.0,0.0103433352
997.0,0.01034736497
998.0,0.01034892735
999.0,0.01035473179
1000.0,0.01035819142
1001.0,0.01034144865
1002.0,0.01034660641
1003.0,0.01035089453
1004.0,0.01035491526
1005.0,0.01035868588
1006.0,0.01036242934
1007.0,0.01036555412
1008.0,0.01036928853
1009.0,0.010373524
1010.0,0.01037723537
1011.0,0.0103807493
1012.0,0.01038444176
1013.0,0.01038794828
1014.0,0.01039150416
1015.0,0.01039513162
1016.0,0.01039914577
1017.0,0.01040263089
1018.0,0.01040587084
1019.0,0.01040909928
1020.0,0.01041195336
1021.0,0.01041521964
1022.0,0.01041876236
1023.0,0.01042203604
1024.0,0.01042533359
1025.0,0.01042866322
1026.0,0.010431941
1027.0,0.01043498432
1028.0,0.01043819219
1029.0,0.01044188136
1030.0,0.01044470172
1031.0,0.01044688114
1032.0,0.01044951721
1033.0,0.01045185626
1034.0,0.01045439523
1035.0,0.0104575274
1036.0,0.01046020377
1037.0,0.01046269833
1038.0,0.01046498965
1039.0,0.0104671477
1040.0,0.01046904412
1041.0,0.01047106641
1042.0,0.01047281803
1043.0,0.01047493329
1044.0,0.01047764668
1045.0,0.01047959165
1046.0,0.01048091873
1047.0,0.01048286534
1048.0,0.01048474859
1049.0,0.01048659728
1050.0,0.01048861217
1051.0,0.01049127126
1052.0,0.01049345399
1053.0,0.01049541541
1054.0,0.01049723942
1055.0,0.01049879934
1056.0,0.01050078954
1057.0,0.01050273121
1058.0,0.01050472882
1059.0,0.01050719951
1060.0,0.01050949743
1061.0,0.01051171306
1062.0,0.01051386535
1063.0,0.01051561203
1064.0,0.01051718181
1065.0,0.01051878287
1066.0,0.01051982939
1067.0,0.01052134406
1068.0,0.01052323554
1069.0,0.01052495012
1070.0,0.01052683092
1071.0,0.01052842785
1072.0,0.01052989644
1073.0,0.01053115853
1074.0,0.01053271021
1075.0,0.0105343631
1076.0,0.01053561613
1077.0,0.0105369753
1078.0,0.01053803334
1079.0,0.01053850477
1080.0,0.01053924771
1081.0,0.01054035676
1082.0,0.01054092775
1083.0,0.01054113179
1084.0,0.0105413893
1085.0,0.01054152012
1086.0,0.0105414074
1087.0,0.01054122722
1088.0,0.01054101413
1089.0,0.0105407599
1090.0,0.01054025557
1091.0,0.01053987464
1092.0,0.01053970762
1093.0,0.01053927733
1094.0,0.01053881988
1095.0,0.01053812796
1096.0,0.01053716536
1097.0,0.01053623565
1098.0,0.01053523026
1099.0,0.01053399451
1100.0,0.01053299489
1101.0,0.01053196727
1102.0,0.01053117909
1103.0,0.01053045508
1104.0,0.0105299384
1105.0,0.01052998694
1106.0,0.01052947603
1107.0,0.01052883182
1108.0,0.01052815635
1109.0,0.01052734512
1110.0,0.01052599665
1111.0,0.01052546764
1112.0,0.01052531954
1113.0,0.01052495754
1114.0,0.01052506614
1115.0,0.01052454534
1116.0,0.01052378184
1117.0,0.01052281183
1118.0,0.01052151272
1119.0,0.01052020045
1120.0,0.01051849326
1121.0,0.01051708309
1122.0,0.01051575189
1123.0,0.01051464449
1124.0,0.01051298008
1125.0,0.01051124411
1126.0,0.01050943326
1127.0,0.01050727191
1128.0,0.01050512127
1129.0,0.01050361812
1130.0,0.01050089075
1131.0,0.01049752655
1132.0,0.01049386537
1133.0,0.01048942914
1134.0,0.01048491478
1135.0,0.01048017251
1136.0,0.01047541707
1137.0,0.01046986686
1138.0,0.0104641085
1139.0,0.01045745336
1140.0,0.01044996149
1141.0,0.01044236101
1142.0,0.01043416324
1143.0,0.010425819
1144.0,0.01041729377
1145.0,0.01040841311
1146.0,0.01039904951
1147.0,0.01038963736
1148.0,0.01038004669
1149.0,0.01037005614
1150.0,0.0103604992
1151.0,0.01035084764
1152.0,0.01034152516
1153.0,0.01033253921
1154.0,0.01032340514
1155.0,0.01031399957
1156.0,0.01030529251
1157.0,0.01029661014
1158.0,0.01028852508
1159.0,0.01028067778
1160.0,0.01027373056
1161.0,0.01026739876
1162.0,0.01026140674
1163.0,0.01025641765
1164.0,0.01025232862
1165.0,0.010248753
1166.0,0.01024582815
1167.0,0.01024343233
1168.0,0.01024167496
1169.0,0.01024044744
1170.0,0.01023955888
1171.0,0.01023953501
1172.0,0.01024028947
1173.0,0.01024150219
1174.0,0.01024346442
1175.0,0.01024580676
1176.0,0.01024859832
1177.0,0.01025188763
1178.0,0.01025541884
1179.0,0.01025966994
1180.0,0.01026347757
1181.0,0.01026720047
1182.0,0.01027133557
1183.0,0.01027574545
1184.0,0.01027989453
1185.0,0.01028426328
1186.0,0.01028857279
1187.0,0.01029284776
1188.0,0.01029678868
1189.0,0.01030060618
1190.0,0.01030460799
1191.0,0.01030808572
1192.0,0.01031092417
1193.0,0.01031416412
1194.0,0.01031743533
1195.0,0.01032064403
1196.0,0.01032406744
1197.0,0.01032702766
1198.0,0.01032978219
1199.0,0.01033241004
1200.0,0.01033443233
1201.0,0.01033690795
1202.0,0.01033965836
1203.0,0.01034222285
1204.0,0.01034479309
1205.0,0.01034753693
1206.0,0.01035010882
1207.0,0.01035238945
1208.0,0.01035500411
1209.0,0.01035787794
1210.0,0.01036051813
1211.0,0.01036301678
1212.0,0.01036578284
1213.0,0.01036856782
1214.0,0.0103714145
1215.0,0.01037455243
1216.0,0.01037759081
1217.0,0.01038059462
1218.0,0.01038355649
1219.0,0.01038650683
1220.0,0.01038945306
1221.0,0.0103924791
1222.0,0.0103955578
1223.0,0.01039847195
1224.0,0.01040135894
1225.0,0.01040430764
1226.0,0.01040726045
1227.0,0.01041001088
1228.0,0.01041268889
1229.0,0.01041545329
1230.0,0.01041819795
1231.0,0.01042071555
1232.0,0.01042312453
1233.0,0.01042567584
1234.0,0.01042818684
